mi_geo_id,FIPS,County,Cty.VTD,STATEFP10,VTDST10,GEOID10,VTDI10,NAME10,NAMELSAD10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,TOTPOP,VAP,PRS08DEM,PRS08REP,PRS08OTH,GOV06DEM,GOV06REP,GOV06OTH,AG06DEM,AG06REP,AG06OTH,SOS06DEM,SOS06REP,SOS06OTH
4499,163,WAYNE,163 7150,26,7150,261637150,P,1.63E+12,Voting District 1633542000005,V1,G5240,S,4458242,3667,42.114972,-83.1530822,1869.00,1502.00,510.77,711.54,10.73,436.37,578.41,16.34,279.79,674.72,37.02,261.75,711.90,20.40
4500,163,WAYNE,163 8230,26,8230,261638230,A,1634900000020A,Voting District 1634900000020A,V1,G5240,N,2564097,6768,42.3883227,-83.3984956,2789.00,2319.00,616.37,844.59,23.70,569.90,657.27,14.26,320.42,861.95,24.50,336.88,826.04,23.68
4501,163,WAYNE,163 8360,26,8360,261638360,A,1634900000034A,Voting District 1634900000034A,V1,G5240,N,4228982,0,42.3718323,-83.3650232,2724.00,2127.00,923.87,749.24,39.17,774.62,531.86,28.73,451.29,795.16,32.75,457.75,804.69,28.28
4502,163,WAYNE,163 620,26,620,26163620,P,1.63E+12,Voting District 1631312000033,V1,G5240,S,2119101,0,42.2870092,-83.5047307,2294.00,1887.00,701.87,529.19,19.34,581.28,453.76,11.27,414.61,575.04,26.40,414.07,584.42,16.30
4503,163,WAYNE,163 1510,26,1510,261631510,A,1.63E+12,Voting District 1632102000034,V1,G5240,N,527885,0,42.3139032,-83.3042345,1827.00,1382.00,619.46,113.82,5.35,372.57,112.31,3.55,334.46,129.78,5.90,326.34,138.75,9.38
4504,163,WAYNE,163 1040,26,1040,261631040,A,1.63E+12,Voting District 1632100000036,V1,G5240,N,421367,0,42.3158173,-83.2682555,1266.00,924.00,441.74,373.34,19.97,370.68,342.77,7.65,225.92,465.69,16.23,221.95,467.08,12.58
4505,163,WAYNE,163 7050,26,7050,261637050,A,1.63E+12,Voting District 1633142000007,V1,G5240,N,1915133,0,42.3322479,-83.3579199,2947.00,2269.00,849.42,525.43,32.29,574.92,426.86,23.03,421.39,544.73,36.58,438.11,529.59,31.18
4506,163,WAYNE,163 10430,26,10430,2616310430,A,1.64E+12,Voting District 1638600000026,V1,G5240,N,804722,0,42.2995895,-83.3651984,1390.00,1080.00,393.20,200.66,9.85,294.12,165.05,7.26,222.60,227.75,11.72,217.99,230.20,9.37
4507,163,WAYNE,163 610,26,610,26163610,P,1.63E+12,Voting District 1631312000032,V1,G5240,S,606207,0,42.3486541,-83.439675,2310.00,1737.00,849.61,153.83,13.83,372.83,124.87,12.57,313.85,175.26,11.28,302.32,182.73,12.83
4508,163,WAYNE,163 8800,26,8800,261638800,A,1.64E+12,Voting District 1636508000012,V1,G5240,N,2131889,8006,42.3539115,-83.5129599,2161.00,1618.00,557.86,723.83,13.44,512.82,631.42,17.71,313.98,793.88,25.58,293.56,823.82,25.22
4509,163,WAYNE,163 990,26,990,26163990,A,1.63E+12,Voting District 1632100000031,V1,G5240,N,5047349,162460,42.3200692,-83.2276907,1492.00,1256.00,505.09,294.24,9.96,361.19,288.02,4.37,266.02,355.96,9.28,252.89,372.15,9.14
4510,163,WAYNE,163 720,26,720,26163720,A,1.63E+12,Voting District 1632100000004,V1,G5240,N,648549,0,42.3475367,-83.181884,2113.00,1307.00,482.31,49.86,4.87,222.37,62.34,10.95,223.57,64.94,2.20,198.19,82.15,6.80
4511,163,WAYNE,163 730,26,730,26163730,A,1.63E+12,Voting District 1632100000005,V1,G5240,N,618058,0,42.3472305,-83.190584,2392.00,1485.00,620.86,56.77,11.16,304.92,49.59,8.75,268.33,81.48,6.88,259.94,79.63,9.13
4512,163,WAYNE,163 7680,26,7680,261637680,A,1.63E+12,Voting District 1634004000006,V1,G5240,N,7098867,223251,42.1297436,-83.3156815,1101.00,891.00,275.85,304.16,13.90,251.49,203.59,6.98,194.43,235.05,12.98,188.46,249.91,10.30
4513,163,WAYNE,163 7650,26,7650,261637650,A,1.63E+12,Voting District 1634004000003,V1,G5240,N,20386228,157346,42.1018592,-83.3664468,2912.00,2088.00,706.48,836.24,27.89,562.83,634.53,12.87,385.21,742.94,28.37,403.90,756.27,18.39
4514,163,WAYNE,163 5140,26,5140,261635140,A,1.63E+12,Voting District 1632200018015,V1,G5240,N,641961,0,42.3492656,-83.2321995,1998.00,1316.00,691.88,26.90,0.00,214.90,26.90,0.89,201.88,35.89,2.92,195.90,42.92,1.90
4515,163,WAYNE,163 5240,26,5240,261635240,A,1.63E+12,Voting District 1632200018031,V1,G5240,N,331383,0,42.3682285,-83.2436055,1153.00,851.00,474.93,0.92,0.00,331.94,6.94,2.94,297.94,29.94,5.93,291.93,41.95,3.93
4516,163,WAYNE,163 4540,26,4540,261634540,A,1.63E+12,Voting District 1632200016029,V1,G5240,N,282739,0,42.4272551,-83.2351536,902.00,637.00,428.95,4.97,0.94,283.94,6.95,0.94,261.93,23.95,0.94,251.93,32.94,0.94
4517,163,WAYNE,163 4190,26,4190,261634190,A,1.63E+12,Voting District 1632200015043,V1,G5240,N,445792,0,42.4204873,-83.1890351,1118.00,943.00,362.91,8.93,0.00,335.89,11.89,2.91,322.93,24.92,1.93,292.92,41.91,6.91
4518,163,WAYNE,163 3970,26,3970,261633970,A,1.63E+12,Voting District 1632200015008,V1,G5240,N,305684,0,42.4423642,-83.1842456,926.00,706.00,418.92,0.00,0.93,329.93,3.93,0.00,310.95,18.95,0.93,302.93,24.95,1.93
4519,163,WAYNE,163 2980,26,2980,261632980,A,1.63E+12,Voting District 1632200010001,V1,G5240,N,1338373,0,42.3641975,-83.0559085,2223.00,1826.00,633.91,10.93,4.93,398.90,13.90,2.92,365.92,30.94,7.91,339.91,49.90,14.91
4520,163,WAYNE,163 7370,26,7370,261637370,A,1.63E+12,Voting District 1633558000005,V1,G5240,N,1184062,0,42.4318045,-82.9072355,2406.00,1783.00,737.51,903.37,29.09,573.25,753.57,16.65,353.40,909.43,32.00,349.82,928.40,14.43
4521,163,WAYNE,163 7190,26,7190,261637190,A,1.63E+12,Voting District 1633550000001,V1,G5240,N,1377679,0,42.4270102,-82.8830761,1561.00,1215.00,267.88,828.86,4.88,217.87,694.87,4.88,135.87,765.87,4.88,127.87,761.87,5.87
4522,163,WAYNE,163 6450,26,6450,261636450,A,1.63E+12,Voting District 1632200023045,V1,G5240,N,623787,0,42.3539602,-83.1029121,201.00,159.00,92.93,0.00,0.96,44.95,1.96,0.96,40.94,2.95,0.96,37.93,6.95,0.00
4523,163,WAYNE,163 10760,26,10760,2616310760,A,1.64E+12,Voting District 1638890000010,V1,G5240,N,838220,0,42.1924055,-83.1767781,1818.00,1498.00,592.52,315.62,31.45,480.31,280.36,9.61,395.01,335.06,18.22,414.50,326.07,13.21
4524,163,WAYNE,163 70,26,70,2616370,P,1.63E+12,Voting District 1630138000007,V1,G5240,S,709282,0,42.255241,-83.2129304,1218.00,962.00,686.19,533.25,39.02,574.80,387.47,7.98,380.66,526.93,21.40,376.31,547.24,11.22
4525,163,WAYNE,163 180,26,180,26163180,A,1.63E+12,Voting District 1630702000002,V1,G5240,N,2270721,5589,42.200142,-83.4868983,2998.00,2298.00,612.75,296.79,8.89,415.27,241.41,10.07,323.13,311.18,18.31,340.35,298.26,16.70
4526,163,WAYNE,163 360,26,360,26163360,P,1.63E+12,Voting District 1631312000007,V1,G5240,S,705454,0,42.3474818,-83.4742214,1515.00,1143.00,369.89,432.48,18.00,323.66,352.52,5.01,192.65,448.91,21.41,181.65,480.40,9.32
4527,163,WAYNE,163 8610,26,8610,261638610,A,1.64E+12,Voting District 1635900000012,V1,G5240,N,3175476,148403,42.4117734,-83.4573874,2895.00,2160.00,797.61,1126.22,19.81,664.30,870.59,16.12,381.17,1095.67,33.28,375.45,1129.52,22.25
4528,163,WAYNE,163 500,26,500,26163500,A,1.63E+12,Voting District 1631312000021,V1,G5240,N,1310243,0,42.329366,-83.4834182,2116.00,1553.00,623.29,510.18,19.40,486.78,366.95,7.49,274.32,531.26,17.59,285.83,517.74,17.56
4529,163,WAYNE,163 4850,26,4850,261634850,A,1.63E+12,Voting District 1632200017021,V1,G5240,N,691912,0,42.404731,-83.2132423,1773.00,1396.00,747.83,9.85,0.84,529.88,14.85,0.84,496.86,34.82,0.00,439.85,86.85,5.86
4530,163,WAYNE,163 6230,26,6230,261636230,A,1.63E+12,Voting District 1632200022028,V1,G5240,N,161563,0,42.3885022,-83.1245342,636.00,484.00,275.97,5.97,2.97,183.97,5.97,0.98,173.97,10.97,2.97,172.97,13.98,1.98
4531,163,WAYNE,163 2070,26,2070,261632070,A,1.63E+12,Voting District 1632200005037,V1,G5240,N,594752,0,42.4160588,-82.9642877,1852.00,1297.00,687.89,11.87,0.87,460.89,13.88,0.00,441.87,21.86,4.87,427.75,41.89,1.87
4532,163,WAYNE,163 5130,26,5130,261635130,A,1.63E+12,Voting District 1632200018010,V1,G5240,N,773362,0,42.336317,-83.2246851,2304.00,1559.00,561.89,71.86,6.86,317.86,74.89,7.88,288.88,94.87,12.91,277.89,109.86,5.87
4533,163,WAYNE,163 8880,26,8880,261638880,A,1.64E+12,Voting District 1636762500003,V1,G5240,N,1469843,0,42.4314518,-83.3055357,2852.00,2158.00,861.32,400.34,33.94,547.42,326.09,27.19,406.36,433.59,38.65,428.08,418.78,26.54
4534,163,WAYNE,163 400,26,400,26163400,P,1.63E+12,Voting District 1631312000011,V1,G5240,S,2558468,0,42.3434698,-83.4985344,2521.00,1813.00,692.35,662.61,9.58,568.31,590.54,16.29,366.14,741.06,27.63,331.48,801.96,21.02
4535,163,WAYNE,163 1180,26,1180,261631180,A,1.63E+12,Voting District 1632100000050,V1,G5240,N,1062698,0,42.2887499,-83.2811915,1828.00,1462.00,585.04,384.45,22.46,460.50,344.05,19.88,341.34,436.31,25.59,337.16,435.43,31.05
4536,163,WAYNE,163 8660,26,8660,261638660,A,1.64E+12,Voting District 1636506000002,V1,G5240,N,1251018,29962,42.3780524,-83.4625614,1626.00,1329.00,643.01,374.11,25.78,412.37,282.42,19.46,285.77,355.12,37.73,278.67,376.99,33.11
4537,163,WAYNE,163 5490,26,5490,261635490,A,1.63E+12,Voting District 1632200019036,V1,G5240,N,432110,0,42.3614244,-83.1937034,1305.00,993.00,528.90,5.91,1.92,381.90,8.91,1.92,358.92,23.92,2.91,347.89,33.90,1.92
4538,163,WAYNE,163 6080,26,6080,261636080,A,1.63E+12,Voting District 1632200021048,V1,G5240,N,978844,0,42.3337158,-83.149504,4444.00,2729.00,534.84,88.80,7.85,234.83,63.82,6.84,217.83,78.80,8.81,216.79,78.80,7.85
4539,163,WAYNE,163 2100,26,2100,261632100,A,1.63E+12,Voting District 1632200005045,V1,G5240,N,621626,0,42.4046546,-82.9901629,1431.00,1060.00,624.89,3.90,0.91,402.91,7.92,0.00,368.90,30.89,1.90,362.88,33.89,2.93
4540,163,WAYNE,163 2250,26,2250,261632250,A,1.63E+12,Voting District 1632200006018,V1,G5240,N,929848,0,42.4306674,-82.9968924,2013.00,1264.00,708.86,5.87,0.85,427.86,9.85,0.85,408.86,21.85,5.87,389.83,39.88,5.87
4541,163,WAYNE,163 3960,26,3960,261633960,A,1.63E+12,Voting District 1632200015007,V1,G5240,N,238527,0,42.4429827,-83.1782259,878.00,745.00,292.97,12.98,0.99,240.98,21.98,1.98,231.97,24.97,1.98,211.99,39.98,5.97
4542,163,WAYNE,163 5310,26,5310,261635310,A,1.63E+12,Voting District 1632200018071,V1,G5240,N,961181,0,42.3375687,-83.2324859,2917.00,1940.00,697.89,91.88,15.85,403.85,90.87,7.87,340.81,139.87,12.87,330.87,150.84,9.84
4543,163,WAYNE,163 1820,26,1820,261631820,A,1.63E+12,Voting District 1632200004042,V1,G5240,N,411655,0,42.388523,-82.9637006,1007.00,731.00,320.89,2.89,0.00,201.92,5.88,0.94,194.93,11.88,0.94,185.89,18.90,2.89
4544,163,WAYNE,163 7170,26,7170,261637170,P,1.63E+12,Voting District 1633548000001,V1,G5240,S,1326295,0,42.3897239,-82.9146441,2507.00,1949.00,892.93,731.89,13.09,617.83,635.81,22.94,429.27,789.36,32.37,390.03,837.26,29.92
4545,163,WAYNE,163 7270,26,7270,261637270,P,1.63E+12,Voting District 1633554000002,V1,G5240,S,1333759,0,42.3749142,-82.9236718,1896.00,1438.00,512.42,601.20,12.36,447.87,546.16,13.85,288.93,676.39,19.97,223.79,740.76,24.98
4546,163,WAYNE,163 2890,26,2890,261632890,A,1.63E+12,Voting District 1632200009021,V1,G5240,N,1030497,0,42.3508558,-83.0096137,1095.00,881.00,379.84,10.82,0.89,244.84,11.86,1.86,221.83,27.87,1.86,212.88,28.86,4.86
4547,163,WAYNE,163 8490,26,8490,261638490,A,1.64E+12,Voting District 1635898000001,V1,G5240,N,2705789,45875,42.4303346,-83.4872315,2739.00,2169.00,894.69,845.91,18.70,730.68,696.66,16.67,488.68,868.67,37.74,424.70,933.66,34.65
4548,163,WAYNE,163 10700,26,10700,2616310700,A,1.64E+12,Voting District 1638890000004,V1,G5240,N,1096304,0,42.2286638,-83.159279,2875.00,2197.00,926.41,549.87,34.11,736.46,372.47,17.99,588.51,477.19,35.32,592.34,474.75,25.36
4549,163,WAYNE,163 2030,26,2030,261632030,A,1.63E+12,Voting District 1632200005029,V1,G5240,N,802679,0,42.4182499,-82.9744907,1608.00,1152.00,617.82,3.80,1.80,335.84,10.82,3.80,308.82,29.82,3.80,294.87,36.81,5.83
4550,163,WAYNE,163 630,26,630,26163630,A,1.63E+12,Voting District 1631312000034,V1,G5240,N,1928294,0,42.323131,-83.4487459,2513.00,1832.00,636.87,363.53,22.17,383.22,245.94,8.79,276.85,312.07,23.91,268.03,329.54,21.07
4551,163,WAYNE,163 2240,26,2240,261632240,A,1.63E+12,Voting District 1632200006014,V1,G5240,N,909741,0,42.4249525,-83.0088578,1999.00,1470.00,838.84,15.85,0.84,314.85,7.85,0.84,290.86,23.87,6.85,290.86,22.82,4.86
4552,163,WAYNE,163 9670,26,9670,261639670,A,1.64E+12,Voting District 1637900000006,V1,G5240,N,627385,0,42.2527182,-83.2358032,1843.00,1422.00,532.87,329.14,20.17,388.04,244.91,9.19,275.94,320.32,15.10,305.91,294.62,6.84
4553,163,WAYNE,163 9990,26,9990,261639990,P,1.64E+12,Voting District 1638042000007,V1,G5240,S,2312001,0,42.1239072,-83.2061016,3052.00,2431.00,841.47,546.08,22.24,630.72,455.54,18.59,475.72,559.96,21.65,478.05,576.67,9.09
4554,163,WAYNE,163 7110,26,7110,261637110,P,1.63E+12,Voting District 1633542000001,V1,G5240,S,4750378,1071653,42.1782585,-83.1509762,1480.00,1159.00,423.88,568.46,12.49,335.52,467.72,11.26,235.33,536.93,12.69,238.90,547.32,12.69
4555,163,WAYNE,163 9230,26,9230,261639230,A,1.64E+12,Voting District 1636918000002,V1,G5240,N,1919373,31756,42.0762702,-83.2569703,1921.00,1477.00,514.56,411.96,19.39,427.33,315.35,10.38,334.12,367.57,25.56,346.83,380.43,11.90
4556,163,WAYNE,163 1100,26,1100,261631100,A,1.63E+12,Voting District 1632100000042,V1,G5240,N,1579430,0,42.2992955,-83.2802603,1435.00,1131.00,410.69,383.04,12.41,371.88,342.76,4.35,213.00,454.21,24.45,214.90,472.12,10.27
4557,163,WAYNE,163 780,26,780,26163780,A,1.63E+12,Voting District 1632100000010,V1,G5240,N,690352,0,42.3312541,-83.1769647,2327.00,1489.00,534.87,73.45,11.18,296.56,75.07,5.41,260.12,98.15,5.70,248.09,98.64,8.00
4558,163,WAYNE,163 120,26,120,26163120,P,1.63E+12,Voting District 1630138000012,V1,G5240,S,599947,0,42.2369285,-83.2273734,1346.00,1092.00,445.99,366.19,6.92,370.13,281.44,10.36,279.74,348.69,3.53,272.33,340.25,11.28
4559,163,WAYNE,163 10690,26,10690,2616310690,A,1.64E+12,Voting District 1638890000003,V1,G5240,N,2473825,5309,42.1951601,-83.1568991,2188.00,1727.00,690.84,454.04,25.74,526.79,363.42,19.15,421.51,423.63,31.47,421.00,426.36,18.61
4560,163,WAYNE,163 7480,26,7480,261637480,P,1.63E+12,Voting District 1633670000003,V1,G5240,S,1249795,0,42.4346552,-82.9285943,2427.00,1753.00,989.94,346.87,17.89,748.22,331.80,20.29,561.52,494.01,26.31,577.37,487.90,19.20
4561,163,WAYNE,163 30,26,30,2616330,A,1.63E+12,Voting District 1630138000003,V1,G5240,N,726346,0,42.2675407,-83.1928941,2119.00,1671.00,655.94,456.16,12.40,458.12,386.12,12.57,347.86,459.56,28.58,348.85,469.42,16.93
4562,163,WAYNE,163 8870,26,8870,261638870,A,1.64E+12,Voting District 1636762500002,V1,G5240,N,1044730,0,42.4366744,-83.2921804,1865.00,1369.00,656.42,275.87,40.13,493.13,254.51,18.52,393.44,322.74,34.34,354.24,376.41,25.50
4563,163,WAYNE,163 650,26,650,26163650,P,1.63E+12,Voting District 1631312000036,V1,G5240,S,1529993,1962,42.2996853,-83.4939439,1970.00,1337.00,612.48,426.60,6.85,432.41,319.61,7.53,306.19,410.37,15.08,279.45,445.66,10.47
4564,163,WAYNE,163 3030,26,3030,261633030,A,1.63E+12,Voting District 1632200010021,V1,G5240,N,810114,0,42.3574832,-83.0473498,1751.00,1179.00,522.96,4.97,0.98,297.96,6.96,0.98,282.96,17.97,1.97,274.96,18.96,6.96
4565,163,WAYNE,163 6050,26,6050,261636050,A,1.63E+12,Voting District 1632200021039,V1,G5240,N,541386,0,42.344175,-83.1336321,1241.00,858.00,355.89,4.88,0.91,244.89,7.90,0.91,217.90,25.87,2.90,207.90,37.89,1.91
4566,163,WAYNE,163 60,26,60,2616360,A,1.63E+12,Voting District 1630138000006,V1,G5240,N,541462,0,42.2598824,-83.2195143,1208.00,942.00,456.02,300.73,15.28,349.71,222.51,12.62,256.47,286.52,19.03,262.70,294.02,11.22
4567,163,WAYNE,163 330,26,330,26163330,A,1.63E+12,Voting District 1631312000004,V1,G5240,N,1303031,0,42.3294893,-83.4736291,1900.00,1447.00,541.95,442.71,19.35,415.56,390.69,21.42,265.34,508.66,32.73,248.96,539.04,22.22
4568,163,WAYNE,163 1090,26,1090,261631090,A,1.63E+12,Voting District 1632100000041,V1,G5240,N,560721,0,42.3079546,-83.2775732,1677.00,1243.00,454.84,576.01,11.13,413.76,550.55,8.75,264.75,672.36,8.02,243.31,706.30,4.48
4569,163,WAYNE,163 10250,26,10250,2616310250,P,1.64E+12,Voting District 1638600000008,V1,G5240,S,2211986,0,42.3387493,-83.3908898,3308.00,2745.00,926.61,320.44,15.45,573.63,265.10,18.22,461.12,353.53,26.94,478.32,329.47,25.86
4570,163,WAYNE,163 10170,26,10170,2616310170,P,1.64E+12,Voting District 1638494000008,V1,G5240,S,4102825,0,42.2721547,-83.4003014,3269.00,2530.00,959.12,449.23,28.32,572.46,345.96,22.33,450.10,418.31,43.08,458.92,448.98,17.48
4571,163,WAYNE,163 7000,26,7000,261637000,A,1.63E+12,Voting District 1633142000002,V1,G5240,N,1258256,0,42.3146071,-83.3402009,2708.00,2062.00,820.33,551.99,27.18,617.03,455.95,14.95,435.41,598.11,25.97,448.38,589.45,20.06
4572,163,WAYNE,163 3870,26,3870,261633870,A,1.63E+12,Voting District 1632200014039,V1,G5240,N,378351,0,42.4000084,-83.1379742,760.00,552.00,261.92,0.93,0.93,187.94,3.94,0.93,164.93,20.96,4.95,158.96,26.93,3.94
4573,163,WAYNE,163 2610,26,2610,261632610,A,1.63E+12,Voting District 1632200007071,V1,G5240,N,653097,0,42.4144176,-83.019809,496.00,366.00,205.87,2.88,1.91,167.86,2.88,2.88,150.87,10.98,3.89,147.87,16.87,1.91
4574,163,WAYNE,163 820,26,820,26163820,A,1.63E+12,Voting District 1632100000014,V1,G5240,N,543802,0,42.3251797,-83.173623,1979.00,1315.00,411.92,97.10,9.98,209.26,77.68,4.36,176.52,98.17,4.57,167.38,110.06,4.54
4575,163,WAYNE,163 8450,26,8450,261638450,A,1.64E+12,Voting District 1635294000002,V1,G5240,N,1278327,98887,42.2913857,-83.180374,2129.00,1576.00,521.09,278.49,14.70,339.75,182.25,10.81,274.97,235.95,15.97,288.26,220.64,13.12
4576,163,WAYNE,163 9060,26,9060,261639060,P,1.64E+12,Voting District 1636762500021,V1,G5240,S,533123,0,42.3672079,-83.2967586,1249.00,925.00,447.63,207.49,15.71,337.18,176.61,6.46,261.84,243.26,6.54,252.81,255.01,9.92
4577,163,WAYNE,163 9070,26,9070,261639070,P,1.64E+12,Voting District 1636762500022,V1,G5240,S,1146757,0,42.3673941,-83.2840538,2715.00,1958.00,1029.92,340.07,33.99,740.90,321.17,11.86,575.95,431.16,29.84,578.49,432.59,19.88
4578,163,WAYNE,163 5110,26,5110,261635110,A,1.63E+12,Voting District 1632200018007,V1,G5240,N,601937,0,42.3467591,-83.2255091,1951.00,1277.00,627.93,53.94,0.91,210.92,16.93,0.91,184.95,38.91,0.00,182.94,40.94,0.91
