ALAND10	AWATER10	CD12_DEM	CD12_REP	CD_2000	CD_BD	CD_FV	CD_NOW	COUNTYFP10	COUNTY_NAM	CTYFP_FUL	FUNCSTAT10	GEOID10	INTPTLAT10	INTPTLON10	LSAD10	MTFCC10	NAME10	NAMELSAD10	POPULATION	POP_ASIAN	POP_BLACK	POP_HAWAII	POP_HISPAN	POP_INDIAN	POP_MULTI	POP_OTHER	POP_TOTAL	POP_WHITE	PRES04_DEM	PRES04_REP	PRES08_DEM	PRES08_REP	PRES12_D50	PRES12_DEM	PRES12_R50	PRES12_REP	SLDL_BD	SLDL_NOW	SLDU_BD	SLDU_NOW	STATEFP10	VAP_ASIAN	VAP_BLACK	VAP_HAWAII	VAP_HISPAN	VAP_INDIAN	VAP_MULTI	VAP_OTHER	VAP_TOT	VAP_TOTAL	VAP_WHITE	VTDI10	VTDNAME	VTDST10
698469	0	1121.3614798896936	472.1618737463284	7	5	2	7	17	Middlesex County	25017	N	250173226	42.4212991	-71.0950459	0	G5240	Medford Ward 1 Precinct 2	Medford Ward 1 Precinct 2	3410.0	2093.0	3796.0	0.0	2184.0	104.0	1027.0	1105.0	44330.0	34021.0	955.4878964	496.7237435	948.0	542.0	978.3123573439897	1016.737811	544.8644594713214	523.4636626	70	0	15	0	25	1664.0	2639.0	0.0	1495.0	78.0	559.0	702.0	2683.0304739918233	35516.0	28379.0	A	Medford Ward 1 Precinct 2	3226
950396	3744	1159.8363459152342	488.3621491798534	7	5	2	7	17	Middlesex County	25017	N	250173227	42.4289324	-71.0939088	0	G5240	Medford Ward 2 Precinct 1	Medford Ward 2 Precinct 1	3527.0	2587.0	3848.0	0.0	1781.0	65.0	1001.0	832.0	45851.0	35737.0	984.7169565	575.539688	977.0	628.0	1008.2396341519776	1047.84055	631.3189678706236	606.5224726	17	0	15	0	25	1937.0	2574.0	0.0	1196.0	52.0	442.0	663.0	2775.0875313106044	36647.0	29783.0	A	Medford Ward 2 Precinct 1	3227
1102173	110374	878.3450184121324	369.8370571191915	4	4	1	4	17	Middlesex County	25017	N	250173285	42.3248234	-71.1966615	0	G5240	Newton Ward 6 Precinct 2	Newton Ward 6 Precinct 2	2671.0	5057.0	767.0	0.0	1040.0	0.0	572.0	117.0	34723.0	27170.0	1172.494604	263.2257123	1220.0	270.0	1129.519820655035	1173.884293	332.17359092858067	319.126714	39	0	19	0	25	3653.0	507.0	0.0	702.0	0.0	273.0	78.0	2101.5760692176423	26598.0	21385.0	A	Newton Ward 6 Precinct 2	3285
1353652	0	909.5852942448364	382.9911269156435	4	4	1	4	17	Middlesex County	25017	N	250173286	42.3253357	-71.208839	0	G5240	Newton Ward 6 Precinct 3	Newton Ward 6 Precinct 3	2766.0	4004.0	754.0	26.0	1391.0	13.0	611.0	130.0	35958.0	29029.0	1297.432554	188.1576388	1350.0	193.0	1249.8784898561482	1298.970324	237.4426039168264	228.116503	39	0	19	0	25	3003.0	624.0	0.0	819.0	13.0	221.0	91.0	2176.3232525106696	26663.0	21892.0	A	Newton Ward 6 Precinct 3	3286
10774989	86235	1505.7812951363362	634.0261641889847	5	0	3	5	17	Middlesex County	25017	N	250172967	42.5120052	-71.4079442	0	G5240	Acton Precinct 1	Acton Precinct 1	4579.0	17121.0	1027.0	0.0	2054.0	52.0	1105.0	962.0	59527.0	37206.0	1208.780466	593.3620938	1351.0	592.0	1296.3189717936286	1347.234862	686.7373431105483	659.7641645	85	0	35	0	25	10985.0	728.0	0.0	1469.0	26.0	494.0	832.0	3602.8142347239177	44109.0	29575.0	A	Acton Precinct 1	2967
476343	0	663.2803826796222	279.28167136256434	7	4	2	7	17	Middlesex County	25017	N	250172986	42.4197714	-71.1730179	0	G5240	Arlington Precinct 14	Arlington Precinct 14	2017.0	1833.0	715.0	0.0	1040.0	26.0	741.0	143.0	26221.0	21723.0	850.7487068	245.8030279	875.0	245.0	864.1657298095064	898.1078138	266.43974510671876	255.9747152	57	0	1	0	25	1508.0	598.0	0.0	676.0	26.0	403.0	104.0	1587.000723179328	20787.0	17472.0	A	Arlington Precinct 14	2986
7415624	572397	1355.4991261305913	570.748165273421	5	0	3	5	17	Middlesex County	25017	N	250173019	42.5325535	-71.2830803	0	G5240	Billerica Precinct 7	Billerica Precinct 7	4122.0	4719.0	1625.0	13.0	1625.0	52.0	923.0	156.0	53586.0	44473.0	939.4710309	722.1284483	963.0	791.0	939.8836137722797	976.7996907	883.5806178903825	848.8759698	146	0	5	0	25	3601.0	1209.0	13.0	1196.0	52.0	468.0	117.0	3243.2409424616703	41665.0	35009.0	A	Billerica Precinct 7	3019
6026599	173535	1144.380630503265	481.85434622792457	5	1	3	5	17	Middlesex County	25017	N	250173020	42.5783177	-71.248643	0	G5240	Billerica Precinct 8	Billerica Precinct 8	3480.0	1378.0	494.0	0.0	780.0	39.0	260.0	13.0	45240.0	42276.0	845.8165979	849.0258621	867.0	930.0	846.1880510295248	879.4240206	1038.8495254855648	998.0463362	134	0	3	0	25	1040.0	325.0	0.0	520.0	39.0	130.0	13.0	2738.107345891949	34749.0	32682.0	A	Billerica Precinct 8	3020
6745325	144974	1215.411152396571	511.7625470282785	5	0	3	5	17	Middlesex County	25017	N	250173073	42.5722206	-71.3416019	0	G5240	Chelmsford Precinct 9	Chelmsford Precinct 9	3696.0	2769.0	338.0	13.0	663.0	13.0	325.0	39.0	48048.0	43888.0	1112.810811	1020.693297	1190.0	1048.0	1066.6651014010288	1108.560811	1198.652832375917	1151.573003	27	0	35	0	25	2067.0	260.0	13.0	416.0	13.0	169.0	39.0	2908.0588363266215	36361.0	33384.0	A	Chelmsford Precinct 9	3073
17112884	760083	1124.6499299773466	473.5465126722707	5	1	2	5	17	Middlesex County	25017	N	250173082	42.6930017	-71.2571878	0	G5240	Dracut Precinct 4	Dracut Precinct 4	3420.0	962.0	533.0	0.0	1118.0	91.0	312.0	13.0	44460.0	41431.0	804.097561	898.4419275	832.0	981.0	770.0473147575752	800.2926829	1127.3663821252703	1083.086491	126	0	3	0	25	741.0	299.0	0.0	650.0	65.0	169.0	13.0	2690.8985985489844	32292.0	30355.0	A	Dracut Precinct 4	3082
2695479	95353	1082.2289238466221	455.68467052761486	5	0	3	5	17	Middlesex County	25017	N	250173084	42.6748514	-71.3411691	0	G5240	Dracut Precinct 6	Dracut Precinct 6	3291.0	2223.0	884.0	0.0	1664.0	39.0	962.0	273.0	42783.0	36738.0	772.2042683	631.931631	799.0	690.0	739.5045727518055	768.5503049	792.9488314492968	761.8039539	22	0	35	0	25	1677.0	572.0	0.0	1014.0	26.0	364.0	156.0	2589.3997917616102	34411.0	30602.0	A	Dracut Precinct 6	3084
2026858	22796	877.3584833858365	369.42166544140883	5	0	3	5	17	Middlesex County	25017	N	250173141	42.3826526	-71.5711152	0	G5240	Hudson Precinct 6	Hudson Precinct 6	2668.0	520.0	923.0	0.0	2249.0	52.0	988.0	1014.0	34684.0	28938.0	618.6806171	336.2085729	662.0	369.0	637.3199909339119	662.3521901	420.1252693001551	403.6238892	52	0	26	0	25	416.0	715.0	0.0	1482.0	52.0	624.0	819.0	2099.215631850494	26572.0	22464.0	A	Hudson Precinct 6	3141
2500869	10045	970.0927758576528	408.46848315298206	5	0	3	5	17	Middlesex County	25017	N	250173137	42.4005652	-71.5842496	0	G5240	Hudson Precinct 2	Hudson Precinct 2	2950.0	1404.0	767.0	0.0	2730.0	52.0	702.0	650.0	38350.0	32045.0	723.3516581	431.877679	774.0	474.0	745.1445210913126	774.4117751	539.6731101630003	518.4762154	148	0	26	0	25	1027.0	572.0	0.0	1885.0	52.0	546.0	520.0	2321.096744362428	29120.0	24518.0	A	Hudson Precinct 2	3137
1162496	41204	1102.9461593988365	464.40789576105146	5	0	3	5	17	Middlesex County	25017	N	250173179	42.6301608	-71.3520638	0	G5240	Lowell Ward 8 Precinct 1	Lowell Ward 8 Precinct 1	3354.0	11869.0	4641.0	0.0	6682.0	65.0	962.0	611.0	43602.0	18772.0	532.2958442	236.6094487	604.0	233.0	640.9906336523114	666.1670057	248.35962590502157	238.604734	43	0	35	0	25	8905.0	3458.0	0.0	4017.0	39.0	624.0	429.0	2638.968976471723	32786.0	15314.0	A	Lowell Ward 8 Precinct 1	3179
1490782	30046	1029.6137224441732	433.53044771253786	5	0	3	5	17	Middlesex County	25017	N	250173180	42.6188846	-71.3223945	0	G5240	Lowell Ward 8 Precinct 2	Lowell Ward 8 Precinct 2	3131.0	13221.0	2132.0	0.0	4901.0	26.0	858.0	793.0	40703.0	18772.0	559.6156641	349.3289714	635.0	344.0	673.8891595614026	700.3576964	366.6768724642076	352.2748003	27	0	3	0	25	9555.0	1469.0	0.0	2860.0	26.0	364.0	637.0	2463.509798847038	30108.0	15197.0	A	Lowell Ward 8 Precinct 2	3180
