"300959666002148","57"
"300959666002142","57"
"300959666002134","57"
"300959666002131","57"
"300959666002140","57"
"300959666002141","57"
"300959666002132","57"
"300959666002149","57"
"300959666002157","57"
"300959666002158","57"
"300959666002167","57"
"300959666002154","57"
"300959666002150","57"
"300959666002152","57"
"300959666002151","57"
"300959666002046","57"
"300959666002135","57"
"300959666002136","57"
"300959666002010","57"
"300959666002139","57"
"300959666002137","57"
"300959666002009","57"
"300959666002008","57"
"300959666002003","57"
"300370001001775","30"
"300959666002011","57"
"300370001001779","30"
"300959666002002","57"
"300959666002138","57"
"300959666002014","57"
"300959666002133","57"
"300959666002005","57"
"300039405001264","42"
"300090005001337","58"
"300090005001336","58"
"300090005001391","58"
"300090005001390","58"
"300090005001335","58"
"300090005001388","58"
"300090005001389","58"
"300090005001393","58"
"300090005001392","58"
"300090005001364","58"
"300090005001354","58"
"300090005001358","58"
"300090005001357","58"
"300090005001379","58"
"300090005001359","58"
"300090005001418","58"
"300090005001406","58"
"300090005001382","58"
"300090005001245","58"
"300090005001380","58"
"300090005001381","58"
"300090005001407","58"
"300090005001408","58"
"300090005001384","58"
"300090005001385","58"
"300090005001360","58"
"300090005001356","58"
"300090005001362","58"
"300090005001363","58"
"300090005001361","58"
"300090005001383","58"
"300179613001742","37"
"300179613001769","37"
"300179613001775","37"
"300179613001768","37"
"300179613001420","37"
"300179613001794","37"
"300110003001255","37"
"300179613001793","37"
"300110003001267","37"
"300110003001268","37"
"300110003001030","37"
"300110003001032","37"
"300110003001035","37"
"300110003001034","37"
"300110003001031","37"
"300110003001033","37"
"300110003001026","37"
"300110003001027","37"
"300110003001029","37"
"300110003001028","37"
"300110003001025","37"
"300110003001022","37"
"300250001001547","37"
"300370001001708","30"
"300370001001706","30"
"300370001001703","30"
"300370001001704","30"
"300370001001707","30"
"300370001001623","30"
"300370001001625","30"
"300370001001622","30"
"300370001001624","30"
"301110014012043","40"
"300959666002168","57"
"300959666002155","57"
"301110014012006","40"
"301110014023227","40"
"301110014012045","40"
"301110014012044","40"
"301110014012040","40"
"301110014012046","40"
"301110014012037","40"
"301110014012038","40"
"301110014012020","40"
"301110014012012","40"
"301110014012018","40"
"301110014012021","40"
"301110014012005","40"
"301110014012049","40"
"301110014012050","40"
"301110014012048","40"
"301110014012042","40"
"301110014012016","40"
"301110014012014","40"
"301110014012011","40"
"301110014012019","40"
"301110014012007","40"
"301110014012004","40"
"301110014023223","40"
"301110014012008","40"
"301110014012003","40"
"301110014023248","40"
"300959666002147","57"
"300959666002159","57"
"300959666001088","57"
"300959666001087","57"
"300959666001069","57"
"300959666001074","57"
"300959666001176","57"
"300959666001068","57"
"300959666001072","57"
"300959666001078","57"
"300959666001014","57"
"300959666001011","57"
"300959666001010","57"
"300959666001005","57"
"300959666001003","57"
"300959666001083","57"
"300959666001004","57"
"300959666002394","57"
"300959666002402","57"
"300959666002413","57"
"300959666002403","57"
"300959666002408","57"
"300959666002375","57"
"300959666002367","57"
"300959666002369","57"
"300959666001002","57"
"300959666001001","57"
"300959666002404","57"
"300959666002405","57"
"300959666002407","57"
"300959666002374","57"
"300959666002370","57"
"300959666002161","57"
"300959666002406","57"
"300050002001105","33"
"300050002001112","33"
"300050002001109","33"
"300050002001113","33"
"300050002001106","33"
"300050002001097","33"
"300050002001096","33"
"300050002001014","33"
"300050002001024","33"
"300050002001025","33"
"300050002001008","33"
"300050002001009","33"
"300050002001013","33"
"300050002001010","33"
"300050002001002","33"
"300050002001001","33"
"300050002001012","33"
"300050002001011","33"
"300050002001000","33"
"300050002001095","33"
"300050001001028","33"
"300050001001029","33"
"300050001001026","33"
"300050001001027","33"
"300090005001401","58"
"300090005001409","58"
"300090005001387","58"
"300090005001400","58"
"300090005001396","58"
"300090005001399","58"
"300090005001398","58"
"300090005001397","58"
"300050002001104","33"
"300050002001102","33"
"300050002001085","33"
"300050002001027","33"
"300050002001026","33"
"300050002001086","33"
"300050002001090","33"
"300050002001903","33"
"300050002001087","33"
"300050002001088","33"
"300050002001092","33"
"300050002001018","33"
"300050002001019","33"
"300050002001022","33"
"300050002001020","33"
"300050002001021","33"
"300050002001023","33"
"300050002001006","33"
"300050002001016","33"
"300050002001007","33"
"300050002001017","33"
"300050002001003","33"
"300050002001100","33"
"300050002001091","33"
"300050002001099","33"
"300050002001093","33"
"300050002001904","33"
"300050002001089","33"
"300050002001911","33"
"300050002001098","33"
"300050002001094","33"
"300050002001108","33"
"300050002001302","33"
"300050002001343","32"
"300050002001341","33"
"300050002001318","33"
"300050002001303","33"
"300050002001317","33"
"300050002001340","33"
"300050002001304","33"
"300050002001129","33"
"300050002001117","33"
"300050002001118","33"
"300050002001127","33"
"300050002001128","33"
"300050002001121","33"
"300050002001116","33"
"300410402001199","33"
"300410402001198","33"
"300410402001194","33"
"300410402001201","33"
"300410402001200","33"
"300410402001197","33"
"300410402001195","33"
"300410402001133","33"
"300410402001128","33"
"300410402001005","33"
"300050002001069","33"
"300410402001196","33"
"300050002001065","33"
"300050002001068","33"
"300410402001132","33"
"300050002001042","33"
"300050002001066","33"
"300050002001288","33"
"300050002001285","33"
"300050002001298","33"
"300050002001299","33"
"300050002001284","33"
"300050002001278","33"
"300050002001272","33"
"300050002001273","33"
"300050002001274","33"
"300050002001328","32"
"300050002001297","33"
"300050002001296","33"
"300050002001323","33"
"300050002001283","33"
"300050002001322","33"
"300050002001325","33"
"300050002001295","33"
"300050002001275","33"
"300050002001361","32"
"300050002001359","32"
"300050002001360","32"
"300050002001321","33"
"300050002001282","33"
"300050002001300","33"
