sd_geo_id	sd_vote_id	statefp10	countyfp10	totpop	vap	vtd_fact	vtdst10	geoid10	vtdi10	name10	namelsad10	lsad10	mtfcc10	funcstat10	aland10	awater10	intptlat10	intptlon10	sd_agg	fraction	mergevar	county	precinct	usp_tot_08	usp_r_08	usp_d_08	ush_r_08	ush_d_08	uss_r_08	uss_d_08	usp_08	ush_08	uss_08	av_08	ndv	nrv
837	"744"	46	125	622	461	"VTD-3"	"VTD-3"	"46125VTD-3"	"A"	"VTD-precinct 3"	"VTD-precinct 3"	0	"G5240"	"N"	92651256	0	43.38811	-96.98366	"461"	"1"	"744"	"Turner"	"Chancellor/Germantown"	327.0	209.0	118.0	103.0	230.0	116.0	221.0	0.36085626	0.6906907	0.65578634	0.57071215	186.62286	140.37714
838	"745"	46	125	581	436	"VTD-4"	"VTD-4"	"46125VTD-4"	"A"	"VTD-precinct 4"	"VTD-precinct 4"	0	"G5240"	"N"	281032997	0	43.242096	-97.30022	"436"	"1"	"745"	"Turner"	"Childstown/Salem/Spring Valley"	274.0	174.0	100.0	91.0	197.0	111.0	175.0	0.3649635	0.6840278	0.6118881	0.5566038	152.50943	121.49056
839	"747"	46	125	438	320	"VTD-7"	"VTD-7"	"46125VTD-7"	"A"	"VTD-precinct 7"	"VTD-precinct 7"	0	"G5240"	"N"	92658635	0	43.126602	-97.10142	"320"	"1"	"747"	"Turner"	"Irene/Daneville"	203.0	95.0	108.0	40.0	169.0	52.0	156.0	0.5320197	0.80861247	0.75	0.6983871	141.77258	61.22742
840	"742"	46	125	1747	1301	"VTD-2"	"VTD-2"	"46125VTD-2"	"A"	"VTD-precinct 2"	"VTD-precinct 2"	0	"G5240"	"N"	238994767	0	43.43512	-97.06646	"1301"	"1"	"742"	"Turner"	"Brothersfield/Home/Parker"	888.0	548.0	340.0	266.0	628.0	344.0	559.0	0.3828829	0.7024608	0.61904764	0.5687151	505.01898	382.98102
841	"753"	46	127	289	236	"VTD-4"	"VTD-4"	"46127VTD-4"	"A"	"VTD-precinct 4"	"VTD-precinct 4"	0	"G5240"	"N"	127896647	197875	42.727234	-96.638565	"236"	"1"	"753"	"Union"	"4"	171.0	94.0	77.0	52.0	131.0	63.0	121.0	0.4502924	0.715847	0.6576087	0.61152416	104.57063	66.42937
842	"752"	46	127	518	399	"VTD-3"	"VTD-3"	"46127VTD-3"	"A"	"VTD-precinct 3"	"VTD-precinct 3"	0	"G5240"	"N"	204143300	146568	42.902973	-96.617226	"399"	"1"	"752"	"Union"	"3"	306.0	195.0	111.0	118.0	198.0	129.0	186.0	0.3627451	0.62658226	0.5904762	0.52828175	161.65422	144.34578
843	"750"	46	127	514	394	"VTD-1"	"VTD-1"	"46127VTD-1"	"A"	"VTD-precinct 1"	"VTD-precinct 1"	0	"G5240"	"N"	193248391	201024	43.018425	-96.57872	"394"	"1"	"750"	"Union"	"1"	261.0	140.0	121.0	62.0	205.0	85.0	184.0	0.46360153	0.76779026	0.68401486	0.6398996	167.01381	93.9862
844	"759"	46	127	770	592	"VTD-10"	"VTD-10"	"46127VTD-10"	"A"	"VTD-precinct 10"	"VTD-precinct 10"	0	"G5240"	"N"	53560418	1012529	42.6126	-96.55645	"592"	"1"	"759"	"Union"	"10"	399.0	211.0	188.0	126.0	263.0	150.0	248.0	0.47117794	0.67609257	0.6231156	0.58937603	235.16104	163.83896
845	"754"	46	127	454	344	"VTD-5"	"VTD-5"	"46127VTD-5"	"A"	"VTD precinct 5"	"VTD precinct 5"	0	"G5240"	"N"	182888451	26758	42.9959	-96.74596	"722"	"0.476454294"	"754"	"Union"	"5"	232.50969	112.91967	119.59003	64.32133	171.52354	70.99169	167.71191	0.5143443	0.72727275	0.7025948	0.64892185	150.88062	81.629074
846	"758"	46	127	1019	727	"VTD-9"	"VTD-9"	"46127VTD-9"	"A"	"VTD-precinct 9"	"VTD-precinct 9"	0	"G5240"	"N"	125774691	8762463	42.583485	-96.61589	"727"	"1"	"758"	"Union"	"9"	525.0	309.0	216.0	230.0	286.0	260.0	259.0	0.41142857	0.5542636	0.4990366	0.4878205	256.10577	268.89423
847	"760"	46	127	2031	1537	"VTD-11"	"VTD-11"	"46127VTD-11"	"A"	"VTD precinct 11"	"VTD precinct 11"	0	"G5240"	"N"	9708873	376320	42.543663	-96.49385	"1537"	"1"	"760"	"Union"	"11"	793.0	397.0	396.0	247.0	525.0	278.0	520.0	0.49936947	0.6800518	0.6516291	0.60981804	483.5857	309.4143
848	"756"	46	127	460	362	"VTD-7"	"VTD-7"	"46127VTD-7"	"A"	"VTD-precinct 7"	"VTD-precinct 7"	0	"G5240"	"N"	188036996	38568	42.82997	-96.75649	"362"	"1"	"756"	"Union"	"7"	295.0	134.0	161.0	88.0	212.0	89.0	216.0	0.5457627	0.70666665	0.7081967	0.65444446	193.06111	101.93889
849	"757"	46	127	2133	1482	"VTD-8"	"VTD-8"	"46127VTD-8"	"A"	"VTD-precinct 8"	"VTD-precinct 8"	0	"G5240"	"N"	76862031	2310880	42.699203	-96.73685	"1482"	"1"	"757"	"Union"	"8"	1039.0	529.0	510.0	312.0	734.0	357.0	709.0	0.4908566	0.70172083	0.6651032	0.61980325	643.9756	395.02444
850	"761"	46	127	1227	914	"VTD-12"	"VTD-12"	"46127VTD-12"	"A"	"VTD precinct 12"	"VTD precinct 12"	0	"G5240"	"N"	18620549	2698974	42.52846	-96.52528	"914"	"1"	"761"	"Union"	"12"	554.0	333.0	221.0	240.0	302.0	287.0	264.0	0.39891696	0.55719554	0.47912887	0.4778385	264.72253	289.27747
851	"755"	46	127	496	368	"VTD-B3"	"VTD-B3"	"46127VTD-B3"	"A"	"VTD - Beresford ward 3 (part of precinct 6)"	"VTD - Beresford ward 3 (part of precinct 6)"	0	"G5240"	"N"	1117721	0	43.07473	-96.77938	"836"	"0.440191388"	"755"	"Union"	"6"	278.20096	147.46411	130.73685	72.63158	207.33014	96.40192	185.76077	0.4699367	0.740566	0.65834635	0.623363	173.42018	104.78077
